Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,075041,2005,12,14.9,Y
IDCJAC0004,075041,2006,01,20.9,Y
IDCJAC0004,075041,2006,02,17.5,Y
IDCJAC0004,075041,2006,03,15.7,Y
IDCJAC0004,075041,2006,04,6.9,Y
IDCJAC0004,075041,2006,05,3.4,Y
IDCJAC0004,075041,2006,06,2.5,Y
IDCJAC0004,075041,2006,07,4.5,Y
IDCJAC0004,075041,2006,08,2.7,Y
IDCJAC0004,075041,2006,09,6.1,Y
IDCJAC0004,075041,2006,10,9.5,Y
IDCJAC0004,075041,2006,11,13.6,Y
IDCJAC0004,075041,2006,12,15.8,Y
IDCJAC0004,075041,2007,01,18.8,Y
IDCJAC0004,075041,2007,02,19.6,Y
IDCJAC0004,075041,2007,03,16.2,Y
IDCJAC0004,075041,2007,04,11.4,Y
IDCJAC0004,075041,2007,05,9.5,Y
IDCJAC0004,075041,2007,06,2.3,Y
IDCJAC0004,075041,2007,07,2.7,Y
IDCJAC0004,075041,2007,08,5.3,Y
IDCJAC0004,075041,2007,09,6.3,Y
IDCJAC0004,075041,2007,10,11.1,Y
IDCJAC0004,075041,2007,11,16.2,Y
IDCJAC0004,075041,2007,12,17.4,Y
IDCJAC0004,075041,2008,01,19.6,Y
IDCJAC0004,075041,2008,02,15.8,Y
IDCJAC0004,075041,2008,03,15.7,Y
IDCJAC0004,075041,2008,04,9.7,Y
IDCJAC0004,075041,2008,05,6.5,Y
IDCJAC0004,075041,2008,06,6.9,Y
IDCJAC0004,075041,2008,07,4.3,Y
IDCJAC0004,075041,2008,08,3.4,Y
IDCJAC0004,075041,2008,09,6.1,Y
IDCJAC0004,075041,2008,10,11.0,Y
IDCJAC0004,075041,2008,11,13.7,Y
IDCJAC0004,075041,2008,12,15.2,Y
IDCJAC0004,075041,2009,01,19.2,Y
IDCJAC0004,075041,2009,02,18.8,Y
IDCJAC0004,075041,2009,03,14.7,Y
IDCJAC0004,075041,2009,04,10.9,Y
IDCJAC0004,075041,2009,05,7.5,Y
IDCJAC0004,075041,2009,06,6.7,Y
IDCJAC0004,075041,2009,07,4.2,Y
IDCJAC0004,075041,2009,08,5.1,Y
IDCJAC0004,075041,2009,09,6.6,Y
