Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,015590,1969,11,13.2,Y
IDCJAC0001,015590,1969,12,10.5,Y
IDCJAC0001,015590,1970,01,0.0,Y
IDCJAC0001,015590,1970,02,14.2,Y
IDCJAC0001,015590,1970,03,8.6,Y
IDCJAC0001,015590,1970,04,51.3,Y
IDCJAC0001,015590,1970,05,11.0,Y
IDCJAC0001,015590,1970,06,0.0,Y
IDCJAC0001,015590,1970,07,0.0,Y
IDCJAC0001,015590,1970,08,0.3,Y
IDCJAC0001,015590,1970,09,12.0,Y
IDCJAC0001,015590,1970,10,3.8,Y
IDCJAC0001,015590,1970,11,18.6,Y
IDCJAC0001,015590,1970,12,56.0,Y
IDCJAC0001,015590,1971,01,0.5,Y
IDCJAC0001,015590,1971,02,0.3,Y
IDCJAC0001,015590,1971,03,13.7,Y
IDCJAC0001,015590,1971,04,14.3,Y
IDCJAC0001,015590,1971,05,0.0,Y
IDCJAC0001,015590,1971,06,11.7,Y
IDCJAC0001,015590,1971,07,7.9,Y
IDCJAC0001,015590,1971,08,12.6,Y
IDCJAC0001,015590,1971,09,3.6,Y
IDCJAC0001,015590,1971,10,0.0,Y
IDCJAC0001,015590,1971,11,39.5,Y
IDCJAC0001,015590,1971,12,21.4,Y
IDCJAC0001,015590,1972,01,2.8,Y
IDCJAC0001,015590,1972,02,1.1,Y
IDCJAC0001,015590,1972,03,225.8,Y
IDCJAC0001,015590,1972,04,0.0,Y
IDCJAC0001,015590,1972,05,0.0,Y
IDCJAC0001,015590,1972,06,0.0,Y
IDCJAC0001,015590,1972,07,0.0,Y
IDCJAC0001,015590,1972,08,10.4,Y
IDCJAC0001,015590,1972,09,6.4,Y
IDCJAC0001,015590,1972,10,0.0,Y
IDCJAC0001,015590,1972,11,22.8,Y
IDCJAC0001,015590,1972,12,2.0,Y
IDCJAC0001,015590,1973,01,53.5,Y
IDCJAC0001,015590,1973,02,9.2,Y
IDCJAC0001,015590,1973,03,0.8,Y
IDCJAC0001,015590,1973,04,13.4,Y
IDCJAC0001,015590,1973,05,10.4,Y
IDCJAC0001,015590,1973,06,101.2,Y
IDCJAC0001,015590,1973,07,22.5,Y
IDCJAC0001,015590,1973,08,59.0,Y
IDCJAC0001,015590,1973,09,13.7,Y
IDCJAC0001,015590,1973,10,19.6,Y
IDCJAC0001,015590,1973,11,91.9,Y
IDCJAC0001,015590,1973,12,54.2,Y
IDCJAC0001,015590,1974,01,241.2,Y
IDCJAC0001,015590,1974,02,146.0,Y
IDCJAC0001,015590,1974,03,62.6,Y
IDCJAC0001,015590,1974,04,91.6,Y
IDCJAC0001,015590,1974,05,24.0,Y
IDCJAC0001,015590,1974,06,0.0,Y
IDCJAC0001,015590,1974,07,0.0,Y
IDCJAC0001,015590,1974,08,30.6,Y
IDCJAC0001,015590,1974,09,54.4,Y
IDCJAC0001,015590,1974,10,73.1,Y
IDCJAC0001,015590,1974,11,10.8,Y
IDCJAC0001,015590,1974,12,48.2,Y
IDCJAC0001,015590,1975,01,17.0,Y
IDCJAC0001,015590,1975,02,84.2,Y
IDCJAC0001,015590,1975,03,60.2,Y
IDCJAC0001,015590,1975,04,0.2,Y
IDCJAC0001,015590,1975,05,0.0,Y
IDCJAC0001,015590,1975,06,3.5,Y
IDCJAC0001,015590,1975,07,28.4,Y
IDCJAC0001,015590,1975,08,33.0,Y
IDCJAC0001,015590,1975,09,57.4,Y
IDCJAC0001,015590,1975,10,31.5,Y
IDCJAC0001,015590,1975,11,56.9,Y
IDCJAC0001,015590,1975,12,228.9,Y
IDCJAC0001,015590,1976,01,97.8,Y
IDCJAC0001,015590,1976,02,210.5,Y
IDCJAC0001,015590,1976,03,157.4,Y
IDCJAC0001,015590,1976,04,0.0,Y
IDCJAC0001,015590,1976,05,0.0,Y
IDCJAC0001,015590,1976,06,0.0,Y
IDCJAC0001,015590,1976,07,3.0,Y
IDCJAC0001,015590,1976,08,0.0,Y
IDCJAC0001,015590,1976,09,0.4,Y
IDCJAC0001,015590,1976,10,47.4,Y
IDCJAC0001,015590,1976,11,34.0,Y
IDCJAC0001,015590,1976,12,1.4,Y
IDCJAC0001,015590,1977,01,13.6,Y
IDCJAC0001,015590,1977,02,140.0,Y
IDCJAC0001,015590,1977,03,40.2,Y
IDCJAC0001,015590,1977,04,0.0,Y
IDCJAC0001,015590,1977,05,11.0,Y
IDCJAC0001,015590,1977,06,0.4,Y
IDCJAC0001,015590,1977,07,0.0,Y
IDCJAC0001,015590,1977,08,0.0,Y
IDCJAC0001,015590,1977,09,21.0,Y
IDCJAC0001,015590,1977,10,24.6,Y
IDCJAC0001,015590,1977,11,110.4,Y
IDCJAC0001,015590,1977,12,10.8,Y
IDCJAC0001,015590,1978,01,126.2,Y
IDCJAC0001,015590,1978,02,2.4,Y
IDCJAC0001,015590,1978,03,20.0,Y
IDCJAC0001,015590,1978,04,0.0,Y
IDCJAC0001,015590,1978,05,61.4,Y
IDCJAC0001,015590,1978,06,31.0,Y
IDCJAC0001,015590,1978,07,81.6,Y
IDCJAC0001,015590,1978,08,17.6,Y
IDCJAC0001,015590,1978,09,15.2,Y
IDCJAC0001,015590,1978,10,28.0,Y
IDCJAC0001,015590,1978,11,24.0,Y
IDCJAC0001,015590,1978,12,21.4,Y
IDCJAC0001,015590,1979,01,76.2,Y
IDCJAC0001,015590,1979,02,19.0,Y
IDCJAC0001,015590,1979,03,44.4,Y
IDCJAC0001,015590,1979,04,25.2,Y
IDCJAC0001,015590,1979,05,73.8,Y
IDCJAC0001,015590,1979,06,1.0,Y
IDCJAC0001,015590,1979,07,0.0,Y
IDCJAC0001,015590,1979,08,0.8,Y
IDCJAC0001,015590,1979,09,28.0,Y
IDCJAC0001,015590,1979,10,6.4,Y
IDCJAC0001,015590,1979,11,27.8,Y
IDCJAC0001,015590,1979,12,5.4,Y
IDCJAC0001,015590,1980,01,8.0,Y
IDCJAC0001,015590,1980,02,7.2,Y
IDCJAC0001,015590,1980,03,0.6,Y
IDCJAC0001,015590,1980,04,25.8,Y
IDCJAC0001,015590,1980,05,38.6,Y
IDCJAC0001,015590,1980,06,6.6,Y
IDCJAC0001,015590,1980,07,10.8,Y
IDCJAC0001,015590,1980,08,4.8,Y
IDCJAC0001,015590,1980,09,0.0,Y
IDCJAC0001,015590,1980,10,44.4,Y
IDCJAC0001,015590,1980,11,0.6,Y
IDCJAC0001,015590,1980,12,22.0,Y
IDCJAC0001,015590,1981,01,92.6,Y
IDCJAC0001,015590,1981,02,18.8,Y
IDCJAC0001,015590,1981,03,1.2,Y
IDCJAC0001,015590,1981,04,0.0,Y
IDCJAC0001,015590,1981,05,7.2,Y
IDCJAC0001,015590,1981,06,6.6,Y
IDCJAC0001,015590,1981,07,13.0,Y
IDCJAC0001,015590,1981,08,0.0,Y
IDCJAC0001,015590,1981,09,5.2,Y
IDCJAC0001,015590,1981,10,7.4,Y
IDCJAC0001,015590,1981,11,65.0,Y
IDCJAC0001,015590,1981,12,92.6,Y
IDCJAC0001,015590,1982,01,4.6,Y
IDCJAC0001,015590,1982,02,185.6,Y
IDCJAC0001,015590,1982,03,48.6,Y
IDCJAC0001,015590,1982,04,3.6,Y
IDCJAC0001,015590,1982,05,0.0,Y
IDCJAC0001,015590,1982,06,0.2,Y
IDCJAC0001,015590,1982,07,2.6,Y
IDCJAC0001,015590,1982,08,0.0,Y
IDCJAC0001,015590,1982,09,17.2,Y
IDCJAC0001,015590,1982,10,5.4,Y
IDCJAC0001,015590,1982,11,0.0,Y
IDCJAC0001,015590,1982,12,25.8,Y
IDCJAC0001,015590,1983,01,23.2,Y
IDCJAC0001,015590,1983,02,1.4,Y
IDCJAC0001,015590,1983,03,356.8,Y
IDCJAC0001,015590,1983,04,68.2,Y
IDCJAC0001,015590,1983,05,0.0,Y
IDCJAC0001,015590,1983,06,0.0,Y
IDCJAC0001,015590,1983,07,0.0,Y
IDCJAC0001,015590,1983,08,12.4,Y
IDCJAC0001,015590,1983,09,0.4,Y
IDCJAC0001,015590,1983,10,21.6,Y
IDCJAC0001,015590,1983,11,18.6,Y
IDCJAC0001,015590,1983,12,46.0,Y
IDCJAC0001,015590,1984,01,105.0,Y
IDCJAC0001,015590,1984,02,0.6,Y
IDCJAC0001,015590,1984,03,1.2,Y
IDCJAC0001,015590,1984,04,28.2,Y
IDCJAC0001,015590,1984,05,0.2,Y
IDCJAC0001,015590,1984,06,0.0,Y
IDCJAC0001,015590,1984,07,24.6,Y
IDCJAC0001,015590,1984,08,5.8,Y
IDCJAC0001,015590,1984,09,29.0,Y
IDCJAC0001,015590,1984,10,32.0,Y
IDCJAC0001,015590,1984,11,4.4,Y
IDCJAC0001,015590,1984,12,58.0,Y
IDCJAC0001,015590,1985,01,0.0,Y
IDCJAC0001,015590,1985,02,17.0,Y
IDCJAC0001,015590,1985,03,25.6,Y
IDCJAC0001,015590,1985,04,0.8,Y
IDCJAC0001,015590,1985,05,0.8,Y
IDCJAC0001,015590,1985,06,17.0,Y
IDCJAC0001,015590,1985,07,1.0,Y
IDCJAC0001,015590,1985,08,3.0,Y
IDCJAC0001,015590,1985,09,0.0,Y
IDCJAC0001,015590,1985,10,31.0,Y
IDCJAC0001,015590,1985,11,21.8,Y
IDCJAC0001,015590,1985,12,2.6,Y
IDCJAC0001,015590,1986,01,13.4,Y
IDCJAC0001,015590,1986,02,0.4,Y
