Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,054038,2014,12,24.7
IDCJAC0003,054038,2015,01,23.7
IDCJAC0003,054038,2015,02,24.2
IDCJAC0003,054038,2015,03,20.9
IDCJAC0003,054038,2015,04,15.1
IDCJAC0003,054038,2015,05,12.0
IDCJAC0003,054038,2015,06,10.9
IDCJAC0003,054038,2015,07,11.2
IDCJAC0003,054038,2015,08,15.0
IDCJAC0003,054038,2015,09,20.0
IDCJAC0003,054038,2015,10,23.6
IDCJAC0003,054038,2015,11,26.4
IDCJAC0003,054038,2015,12,27.1
IDCJAC0003,054038,2016,01,23.7
IDCJAC0003,054038,2016,02,25.8
IDCJAC0003,054038,2016,03,19.5
IDCJAC0003,054038,2016,04,16.9
IDCJAC0003,054038,2016,05,12.3
IDCJAC0003,054038,2016,06,9.2
IDCJAC0003,054038,2016,07,11.7
IDCJAC0003,054038,2016,08,14.0
IDCJAC0003,054038,2016,09,15.7
IDCJAC0003,054038,2016,10,22.7
IDCJAC0003,054038,2016,11,26.2
IDCJAC0003,054038,2016,12,25.1
IDCJAC0003,054038,2017,01,27.1
IDCJAC0003,054038,2017,02,25.3
IDCJAC0003,054038,2017,03,18.4
IDCJAC0003,054038,2017,04,16.8
IDCJAC0003,054038,2017,05,12.9
IDCJAC0003,054038,2017,06,11.2
IDCJAC0003,054038,2017,07,12.6
IDCJAC0003,054038,2017,08,16.0
IDCJAC0003,054038,2017,09,18.5
IDCJAC0003,054038,2017,10,21.4
IDCJAC0003,054038,2017,11,23.9
IDCJAC0003,054038,2017,12,27.0
IDCJAC0003,054038,2018,01,27.4
IDCJAC0003,054038,2018,02,22.9
IDCJAC0003,054038,2018,03,20.4
IDCJAC0003,054038,2018,04,17.2
IDCJAC0003,054038,2018,05,13.4
IDCJAC0003,054038,2018,06,11.5
IDCJAC0003,054038,2018,07,13.0
IDCJAC0003,054038,2018,08,15.4
IDCJAC0003,054038,2018,09,18.8
IDCJAC0003,054038,2018,10,19.9
