Product code,Station number,Year,Month,Lowest maximum temperature (°C),Day,Quality
IDCJAC0006,031108,2007,02,24.4,20,Y
IDCJAC0006,031108,2007,03,25.7,18,Y
IDCJAC0006,031108,2007,04,23.9,10,Y
IDCJAC0006,031108,2007,05,22.9,25,Y
IDCJAC0006,031108,2007,06,18.0,27,Y
IDCJAC0006,031108,2007,07,18.7,22,Y
IDCJAC0006,031108,2007,08,20.3,07,Y
IDCJAC0006,031108,2007,09,23.2,01,Y
IDCJAC0006,031108,2007,10,23.6,02,Y
IDCJAC0006,031108,2007,11,26.5,14,Y
IDCJAC0006,031108,2007,12,26.5,30,Y
IDCJAC0006,031108,2008,01,26.4,14,Y
IDCJAC0006,031108,2008,02,25.2,28,Y
IDCJAC0006,031108,2008,03,21.6,05,Y
IDCJAC0006,031108,2008,04,23.3,17,Y
IDCJAC0006,031108,2008,05,22.0,30,Y
IDCJAC0006,031108,2008,06,18.6,16,Y
IDCJAC0006,031108,2008,07,18.9,08,Y
IDCJAC0006,031108,2008,08,20.6,19,Y
IDCJAC0006,031108,2008,09,21.6,11,Y
IDCJAC0006,031108,2008,10,25.4,04,Y
IDCJAC0006,031108,2008,11,28.1,28,Y
IDCJAC0006,031108,2008,12,29.0,27,Y
IDCJAC0006,031108,2009,01,23.2,12,Y
IDCJAC0006,031108,2009,02,24.1,01,Y
IDCJAC0006,031108,2009,03,24.9,06,Y
IDCJAC0006,031108,2009,04,25.7,20,Y
IDCJAC0006,031108,2009,05,21.5,26,Y
IDCJAC0006,031108,2009,06,21.1,14,Y
IDCJAC0006,031108,2009,07,21.8,29,Y
IDCJAC0006,031108,2009,08,20.3,01,Y
IDCJAC0006,031108,2009,09,24.2,18,Y
IDCJAC0006,031108,2009,10,25.2,19,Y
IDCJAC0006,031108,2009,11,24.4,12,Y
IDCJAC0006,031108,2009,12,28.0,27,Y
IDCJAC0006,031108,2010,01,24.9,22,Y
IDCJAC0006,031108,2010,02,26.9,22,Y
IDCJAC0006,031108,2010,03,24.3,31,Y
IDCJAC0006,031108,2010,04,23.0,19,Y
IDCJAC0006,031108,2010,05,21.8,19,Y
IDCJAC0006,031108,2010,06,21.3,20,Y
IDCJAC0006,031108,2010,07,21.5,23,Y
IDCJAC0006,031108,2010,08,22.3,04,Y
IDCJAC0006,031108,2010,09,25.0,01,Y
IDCJAC0006,031108,2010,10,25.0,21,Y
IDCJAC0006,031108,2010,11,25.5,03,Y
IDCJAC0006,031108,2010,12,24.3,24,Y
IDCJAC0006,031108,2011,01,24.5,22,Y
IDCJAC0006,031108,2011,02,24.2,24,Y
IDCJAC0006,031108,2011,03,24.2,08,Y
IDCJAC0006,031108,2011,04,21.4,30,Y
IDCJAC0006,031108,2011,05,21.3,17,Y
IDCJAC0006,031108,2011,06,20.5,27,Y
IDCJAC0006,031108,2011,07,19.5,01,Y
IDCJAC0006,031108,2011,08,19.9,04,Y
IDCJAC0006,031108,2011,09,22.9,13,Y
IDCJAC0006,031108,2011,10,23.5,05,Y
IDCJAC0006,031108,2011,11,27.4,02,Y
IDCJAC0006,031108,2011,12,24.7,29,Y
IDCJAC0006,031108,2012,01,27.0,25,Y
IDCJAC0006,031108,2012,02,25.7,04,Y
IDCJAC0006,031108,2012,03,25.0,26,Y
IDCJAC0006,031108,2012,04,24.6,16,Y
IDCJAC0006,031108,2012,05,20.5,31,Y
IDCJAC0006,031108,2012,06,21.2,20,Y
IDCJAC0006,031108,2012,07,19.0,23,Y
IDCJAC0006,031108,2012,08,19.5,15,Y
IDCJAC0006,031108,2012,09,22.3,05,Y
IDCJAC0006,031108,2012,10,24.3,03,Y
IDCJAC0006,031108,2012,11,26.0,13,Y
IDCJAC0006,031108,2012,12,29.6,13,Y
IDCJAC0006,031108,2013,01,25.0,22,Y
