Product code,Station number,Year,Month,Highest minimum temperature (°C),Day,Quality
IDCJAC0007,014015,1953,05,24.7,01,Y
IDCJAC0007,014015,1953,06,22.2,01,Y
IDCJAC0007,014015,1953,07,21.7,09,Y
IDCJAC0007,014015,1953,08,23.4,23,Y
IDCJAC0007,014015,1953,09,25.6,28,Y
IDCJAC0007,014015,1953,10,27.7,28,Y
IDCJAC0007,014015,1953,11,28.9,26,Y
IDCJAC0007,014015,1953,12,29.2,11,Y
IDCJAC0007,014015,1954,01,28.3,08,Y
IDCJAC0007,014015,1954,02,27.2,10,Y
IDCJAC0007,014015,1954,03,26.8,17,Y
IDCJAC0007,014015,1954,04,26.1,06,Y
IDCJAC0007,014015,1954,05,24.6,19,Y
IDCJAC0007,014015,1954,06,23.0,01,Y
IDCJAC0007,014015,1954,07,22.2,23,Y
IDCJAC0007,014015,1954,08,23.7,26,Y
IDCJAC0007,014015,1954,09,25.6,05,Y
IDCJAC0007,014015,1954,10,26.3,16,Y
IDCJAC0007,014015,1954,11,28.3,12,Y
IDCJAC0007,014015,1954,12,26.6,30,Y
IDCJAC0007,014015,1955,01,27.3,21,Y
IDCJAC0007,014015,1955,02,27.2,04,Y
IDCJAC0007,014015,1955,03,26.9,13,Y
IDCJAC0007,014015,1955,04,25.6,14,Y
IDCJAC0007,014015,1955,05,25.1,25,Y
IDCJAC0007,014015,1955,06,24.6,30,Y
IDCJAC0007,014015,1955,07,25.1,23,Y
IDCJAC0007,014015,1955,08,24.1,26,Y
IDCJAC0007,014015,1955,09,25.9,29,Y
IDCJAC0007,014015,1955,10,27.4,29,Y
IDCJAC0007,014015,1955,11,27.0,18,Y
IDCJAC0007,014015,1955,12,28.5,17,Y
IDCJAC0007,014015,1956,01,28.3,06,Y
IDCJAC0007,014015,1956,02,26.8,25,Y
IDCJAC0007,014015,1956,03,26.9,07,Y
IDCJAC0007,014015,1956,04,25.1,16,Y
IDCJAC0007,014015,1956,05,25.6,08,Y
IDCJAC0007,014015,1956,06,22.9,28,Y
IDCJAC0007,014015,1956,07,24.1,19,Y
IDCJAC0007,014015,1956,08,24.2,20,Y
IDCJAC0007,014015,1956,09,24.9,28,Y
IDCJAC0007,014015,1956,10,28.3,29,Y
IDCJAC0007,014015,1956,11,27.8,13,Y
IDCJAC0007,014015,1956,12,28.5,06,Y
IDCJAC0007,014015,1957,01,27.7,02,Y
IDCJAC0007,014015,1957,02,27.7,03,Y
IDCJAC0007,014015,1957,03,26.4,11,Y
IDCJAC0007,014015,1957,04,26.1,24,Y
IDCJAC0007,014015,1957,05,25.0,01,Y
IDCJAC0007,014015,1957,06,23.4,16,Y
IDCJAC0007,014015,1957,07,22.7,21,Y
IDCJAC0007,014015,1957,08,22.9,13,Y
IDCJAC0007,014015,1957,09,24.2,30,Y
IDCJAC0007,014015,1957,10,27.2,31,Y
IDCJAC0007,014015,1957,11,28.1,24,Y
IDCJAC0007,014015,1957,12,26.3,08,Y
IDCJAC0007,014015,1958,01,28.1,20,Y
IDCJAC0007,014015,1958,02,28.6,19,Y
IDCJAC0007,014015,1958,03,27.6,22,Y
IDCJAC0007,014015,1958,04,28.3,03,Y
IDCJAC0007,014015,1958,05,25.5,02,Y
IDCJAC0007,014015,1958,06,24.4,04,Y
IDCJAC0007,014015,1958,07,24.1,20,Y
IDCJAC0007,014015,1958,08,24.0,14,Y
IDCJAC0007,014015,1958,09,24.9,28,Y
IDCJAC0007,014015,1958,10,27.1,29,Y
IDCJAC0007,014015,1958,11,27.6,09,Y
IDCJAC0007,014015,1958,12,27.3,16,Y
IDCJAC0007,014015,1959,01,27.8,31,Y
IDCJAC0007,014015,1959,02,27.7,13,Y
IDCJAC0007,014015,1959,03,28.6,10,Y
IDCJAC0007,014015,1959,04,25.0,07,Y
IDCJAC0007,014015,1959,05,24.6,19,Y
IDCJAC0007,014015,1959,06,22.3,26,Y
IDCJAC0007,014015,1959,07,21.7,13,Y
IDCJAC0007,014015,1959,08,22.4,31,Y
IDCJAC0007,014015,1959,09,25.6,27,Y
IDCJAC0007,014015,1959,10,26.8,18,Y
IDCJAC0007,014015,1959,11,27.8,02,Y
IDCJAC0007,014015,1959,12,28.3,30,Y
IDCJAC0007,014015,1960,01,28.3,06,Y
IDCJAC0007,014015,1960,02,26.1,04,Y
IDCJAC0007,014015,1960,03,25.4,19,Y
IDCJAC0007,014015,1960,04,25.2,29,Y
IDCJAC0007,014015,1960,05,24.9,11,Y
IDCJAC0007,014015,1960,06,20.6,11,Y
IDCJAC0007,014015,1960,07,22.0,04,Y
IDCJAC0007,014015,1960,08,23.9,28,Y
IDCJAC0007,014015,1960,09,26.1,19,Y
