num,exp,pop,sex,time,gen,round,comm,lat,lon
278,2,Canberra,Female,38.32,G2,1,,-35.27,149.11
289,2,Canberra,Female,24.48,G2,1,,-35.27,149.11
304,2,Canberra,Female,73.33,G2,2,,-35.27,149.11
309,2,Canberra,Female,48.43,G2,2,,-35.27,149.11
327,2,Canberra,Female,38.08,G2,2,,-35.27,149.11
345,2,Canberra,Female,56.08,G2,2,,-35.27,149.11
353,2,Canberra,Female,60.32,G2,2,,-35.27,149.11
357,2,Canberra,Female,31.43,G2,2,,-35.27,149.11
380,2,Canberra,Female,61.47,G2,2,,-35.27,149.11
422,2,Canberra,Female,41.12,G2,2,,-35.27,149.11
426,2,Canberra,Female,44.92,G2,2,,-35.27,149.11
438,2,Canberra,Female,53.45,G2,2,,-35.27,149.11
455,2,Canberra,Female,48.08,G2,2,,-35.27,149.11
465,2,Canberra,Female,27.45,G2,2,,-35.27,149.11
504,2,Canberra,Female,59.78,G2,2,,-35.27,149.11
588,2,Canberra,Female,26.45,G2,2,,-35.27,149.11
597,2,Canberra,Female,40.20,G2,2,,-35.27,149.11
5,2,Canberra,Male,25.02,G2,1,,-35.27,149.11
15,2,Canberra,Male,39.57,G2,1,,-35.27,149.11
40,2,Canberra,Male,39.98,G2,1,,-35.27,149.11
91,2,Canberra,Male,31.77,G2,1,,-35.27,149.11
118,2,Canberra,Male,35.17,G2,1,,-35.27,149.11
133,2,Canberra,Male,41.27,G2,1,,-35.27,149.11
138,2,Canberra,Male,32.88,G2,1,,-35.27,149.11
146,2,Canberra,Male,64.08,G2,1,,-35.27,149.11
157,2,Canberra,Male,53.13,G2,1,,-35.27,149.11
167,2,Canberra,Male,44.15,G2,1,,-35.27,149.11
180,2,Canberra,Male,29.43,G2,1,,-35.27,149.11
193,2,Canberra,Male,57.43,G2,1,,-35.27,149.11
227,2,Canberra,Male,34.58,G2,1,,-35.27,149.11
249,2,Canberra,Male,47.07,G2,1,,-35.27,149.11
265,2,Canberra,Male,49.05,G2,1,,-35.27,149.11
319,2,Canberra,Male,42.48,G2,2,,-35.27,149.11
332,2,Canberra,Male,26.03,G2,2,,-35.27,149.11
335,2,Canberra,Male,28.18,G2,2,,-35.27,149.11
347,2,Canberra,Male,26.62,G2,2,,-35.27,149.11
403,2,Canberra,Male,26.55,G2,2,,-35.27,149.11
417,2,Canberra,Male,43.93,G2,2,,-35.27,149.11
430,2,Canberra,Male,15.78,G2,2,,-35.27,149.11
436,2,Canberra,Male,41.93,G2,2,,-35.27,149.11
439,2,Canberra,Male,37.58,G2,2,,-35.27,149.11
442,2,Canberra,Male,38.75,G2,2,,-35.27,149.11
452,2,Canberra,Male,38.27,G2,2,,-35.27,149.11
514,2,Canberra,Male,18.73,G2,2,,-35.27,149.11
542,2,Canberra,Male,33.80,G2,2,,-35.27,149.11
591,2,Canberra,Male,26.82,G2,2,,-35.27,149.11
592,2,Canberra,Male,27.02,G2,2,,-35.27,149.11
29,2,Griffith,Female,40.27,G2,1,,-34.29,146.04
33,2,Griffith,Female,54.13,G2,1,,-34.29,146.04
77,2,Griffith,Female,49.35,G2,1,,-34.29,146.04
123,2,Griffith,Female,52.12,G2,1,,-34.29,146.04
140,2,Griffith,Female,23.13,G2,1,,-34.29,146.04
153,2,Griffith,Female,54.12,G2,1,,-34.29,146.04
171,2,Griffith,Female,53.52,G2,1,,-34.29,146.04
176,2,Griffith,Female,25.30,G2,1,,-34.29,146.04
196,2,Griffith,Female,15.03,G2,1,,-34.29,146.04
199,2,Griffith,Female,53.80,G2,1,,-34.29,146.04
236,2,Griffith,Female,46.10,G2,1,,-34.29,146.04
245,2,Griffith,Female,46.90,G2,1,,-34.29,146.04
255,2,Griffith,Female,40.30,G2,1,,-34.29,146.04
256,2,Griffith,Female,40.40,G2,1,,-34.29,146.04
258,2,Griffith,Female,40.52,G2,1,,-34.29,146.04
351,2,Griffith,Female,62.05,G2,2,,-34.29,146.04
354,2,Griffith,Female,56.68,G2,2,,-34.29,146.04
358,2,Griffith,Female,60.82,G2,2,,-34.29,146.04
368,2,Griffith,Female,25.10,G2,2,,-34.29,146.04
