Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,031108,1985,03,27.1,Y
IDCJAC0002,031108,1985,04,27.2,Y
IDCJAC0002,031108,1985,05,23.5,Y
IDCJAC0002,031108,1985,06,22.5,Y
IDCJAC0002,031108,1985,07,21.8,Y
IDCJAC0002,031108,1985,08,25.5,Y
IDCJAC0002,031108,1985,09,27.3,Y
IDCJAC0002,031108,1985,10,28.9,Y
IDCJAC0002,031108,1985,11,30.8,Y
IDCJAC0002,031108,1985,12,31.9,Y
IDCJAC0002,031108,1986,01,29.1,Y
IDCJAC0002,031108,1986,02,29.4,Y
IDCJAC0002,031108,1986,03,27.1,Y
IDCJAC0002,031108,1986,04,25.8,Y
IDCJAC0002,031108,1986,05,25.3,Y
IDCJAC0002,031108,1986,06,24.2,Y
IDCJAC0002,031108,1986,07,24.3,Y
IDCJAC0002,031108,1986,08,25.7,Y
IDCJAC0002,031108,1986,09,28.2,Y
IDCJAC0002,031108,1986,10,30.3,Y
IDCJAC0002,031108,1986,11,30.1,Y
IDCJAC0002,031108,1986,12,32.2,Y
IDCJAC0002,031108,1987,01,31.5,Y
IDCJAC0002,031108,1987,02,28.8,Y
IDCJAC0002,031108,1987,03,28.2,Y
IDCJAC0002,031108,1987,04,25.8,Y
IDCJAC0002,031108,1987,05,24.6,Y
IDCJAC0002,031108,1987,06,23.3,Y
IDCJAC0002,031108,1987,07,22.5,Y
IDCJAC0002,031108,1987,08,25.4,Y
IDCJAC0002,031108,1987,09,25.7,Y
IDCJAC0002,031108,1987,10,32.2,Y
IDCJAC0002,031108,1987,11,31.0,Y
IDCJAC0002,031108,1987,12,30.2,Y
IDCJAC0002,031108,1988,01,30.3,Y
IDCJAC0002,031108,1988,02,29.5,Y
IDCJAC0002,031108,1988,03,27.2,Y
IDCJAC0002,031108,1988,04,28.2,Y
IDCJAC0002,031108,1988,05,26.5,Y
IDCJAC0002,031108,1988,06,23.9,Y
IDCJAC0002,031108,1988,07,23.4,Y
IDCJAC0002,031108,1988,08,24.5,Y
IDCJAC0002,031108,1988,09,27.7,Y
IDCJAC0002,031108,1988,10,30.2,Y
IDCJAC0002,031108,1988,11,30.9,Y
IDCJAC0002,031108,1988,12,29.3,Y
IDCJAC0002,031108,1989,01,28.8,Y
IDCJAC0002,031108,1989,02,28.9,Y
IDCJAC0002,031108,1989,03,27.3,Y
IDCJAC0002,031108,1989,04,26.3,Y
IDCJAC0002,031108,1989,05,25.6,Y
IDCJAC0002,031108,1989,06,22.7,Y
IDCJAC0002,031108,1989,07,23.5,Y
IDCJAC0002,031108,1989,08,24.5,Y
IDCJAC0002,031108,1989,09,28.1,Y
IDCJAC0002,031108,1989,10,30.7,Y
IDCJAC0002,031108,1989,11,29.1,Y
IDCJAC0002,031108,1989,12,29.7,Y
IDCJAC0002,031108,1990,01,30.4,Y
IDCJAC0002,031108,1990,02,32.3,Y
IDCJAC0002,031108,1990,03,28.6,Y
IDCJAC0002,031108,1990,04,27.3,Y
IDCJAC0002,031108,1990,05,24.3,Y
IDCJAC0002,031108,1990,06,23.0,Y
IDCJAC0002,031108,1990,07,23.1,Y
IDCJAC0002,031108,1990,08,26.0,Y
IDCJAC0002,031108,1990,09,24.9,Y
IDCJAC0002,031108,1990,10,29.3,Y
IDCJAC0002,031108,1990,11,31.8,Y
IDCJAC0002,031108,1990,12,30.7,Y
IDCJAC0002,031108,1991,01,29.1,Y
IDCJAC0002,031108,1991,02,27.9,Y
IDCJAC0002,031108,1991,03,28.1,Y
IDCJAC0002,031108,1991,04,26.2,Y
IDCJAC0002,031108,1991,05,24.3,Y
IDCJAC0002,031108,1991,06,25.3,Y
IDCJAC0002,031108,1991,07,24.1,Y
IDCJAC0002,031108,1991,08,24.8,Y
IDCJAC0002,031108,1991,09,28.1,Y
IDCJAC0002,031108,1991,10,29.6,Y
IDCJAC0002,031108,1991,11,30.5,Y
IDCJAC0002,031108,1991,12,32.2,Y
IDCJAC0002,031108,1992,01,31.3,Y
IDCJAC0002,031108,1992,02,30.4,Y
IDCJAC0002,031108,1992,03,29.5,Y
IDCJAC0002,031108,1992,04,26.7,Y
IDCJAC0002,031108,1992,05,25.9,Y
IDCJAC0002,031108,1992,06,24.5,Y
IDCJAC0002,031108,1992,07,22.7,Y
IDCJAC0002,031108,1992,08,26.9,Y
IDCJAC0002,031108,1992,09,29.4,Y
IDCJAC0002,031108,1992,10,28.3,Y
IDCJAC0002,031108,1992,11,32.6,Y
IDCJAC0002,031108,1992,12,29.9,Y
IDCJAC0002,031108,1993,01,28.7,Y
IDCJAC0002,031108,1993,02,28.8,Y
IDCJAC0002,031108,1993,03,30.0,Y
IDCJAC0002,031108,1993,04,25.9,Y
IDCJAC0002,031108,1993,05,24.5,Y
IDCJAC0002,031108,1993,06,23.7,Y
IDCJAC0002,031108,1993,07,23.8,Y
IDCJAC0002,031108,1993,08,23.9,Y
IDCJAC0002,031108,1993,09,26.5,Y
IDCJAC0002,031108,1993,10,29.8,Y
IDCJAC0002,031108,1993,11,30.7,Y
IDCJAC0002,031108,1993,12,30.4,Y
IDCJAC0002,031108,1994,01,32.7,Y
IDCJAC0002,031108,1994,02,29.3,Y
IDCJAC0002,031108,1994,03,27.6,Y
IDCJAC0002,031108,1994,04,25.7,Y
IDCJAC0002,031108,1994,05,24.2,Y
IDCJAC0002,031108,1994,06,23.3,Y
IDCJAC0002,031108,1994,07,21.6,Y
IDCJAC0002,031108,1994,08,22.4,Y
IDCJAC0002,031108,1994,09,27.0,Y
IDCJAC0002,031108,1994,10,29.7,Y
IDCJAC0002,031108,1994,11,31.3,Y
IDCJAC0002,031108,1994,12,30.1,Y
IDCJAC0002,031108,1995,01,30.9,Y
IDCJAC0002,031108,1995,02,29.2,Y
IDCJAC0002,031108,1995,03,27.8,Y
IDCJAC0002,031108,1995,04,27.9,Y
IDCJAC0002,031108,1995,05,25.2,Y
IDCJAC0002,031108,1995,06,23.4,Y
IDCJAC0002,031108,1995,07,24.8,Y
IDCJAC0002,031108,1995,08,22.1,Y
IDCJAC0002,031108,1995,09,27.1,Y
IDCJAC0002,031108,1995,10,28.6,Y
IDCJAC0002,031108,1995,11,31.0,Y
IDCJAC0002,031108,1995,12,31.5,Y
IDCJAC0002,031108,1996,01,29.7,Y
IDCJAC0002,031108,1996,02,29.0,Y
IDCJAC0002,031108,1996,03,27.5,Y
IDCJAC0002,031108,1996,04,28.3,Y
IDCJAC0002,031108,1996,05,25.1,Y
IDCJAC0002,031108,1996,06,24.5,Y
IDCJAC0002,031108,1996,07,24.3,Y
IDCJAC0002,031108,1996,08,25.1,Y
IDCJAC0002,031108,1996,09,28.0,Y
IDCJAC0002,031108,1996,10,27.4,Y
IDCJAC0002,031108,1996,11,31.1,Y
IDCJAC0002,031108,1996,12,30.7,Y
IDCJAC0002,031108,1997,01,28.8,Y
IDCJAC0002,031108,1997,02,28.7,Y
IDCJAC0002,031108,1997,03,27.3,Y
IDCJAC0002,031108,1997,04,24.9,Y
IDCJAC0002,031108,1997,05,24.7,Y
IDCJAC0002,031108,1997,06,22.0,Y
IDCJAC0002,031108,1997,07,21.9,Y
IDCJAC0002,031108,1997,08,23.7,Y
IDCJAC0002,031108,1997,09,28.3,Y
IDCJAC0002,031108,1997,10,28.2,Y
IDCJAC0002,031108,1997,11,30.0,Y
IDCJAC0002,031108,1997,12,30.1,Y
IDCJAC0002,031108,1998,01,29.5,Y
IDCJAC0002,031108,1998,02,29.8,Y
IDCJAC0002,031108,1998,03,27.9,Y
IDCJAC0002,031108,1998,04,28.2,Y
IDCJAC0002,031108,1998,05,25.5,Y
IDCJAC0002,031108,1998,06,24.8,Y
IDCJAC0002,031108,1998,07,24.3,Y
IDCJAC0002,031108,1998,08,26.2,Y
IDCJAC0002,031108,1998,09,27.7,Y
IDCJAC0002,031108,1998,10,30.5,Y
IDCJAC0002,031108,1998,11,29.5,Y
IDCJAC0002,031108,1998,12,30.3,Y
IDCJAC0002,031108,1999,01,29.7,Y
IDCJAC0002,031108,1999,02,28.8,Y
IDCJAC0002,031108,1999,03,27.5,Y
IDCJAC0002,031108,1999,04,25.9,Y
IDCJAC0002,031108,1999,05,25.0,Y
IDCJAC0002,031108,1999,06,23.5,Y
IDCJAC0002,031108,1999,07,22.7,Y
IDCJAC0002,031108,1999,08,23.0,Y
IDCJAC0002,031108,1999,09,26.3,Y
IDCJAC0002,031108,1999,10,29.1,Y
IDCJAC0002,031108,1999,11,28.1,Y
IDCJAC0002,031108,1999,12,28.6,Y
IDCJAC0002,031108,2000,01,29.8,Y
IDCJAC0002,031108,2000,02,27.9,Y
IDCJAC0002,031108,2000,03,27.5,Y
IDCJAC0002,031108,2000,04,26.3,Y
IDCJAC0002,031108,2000,05,25.1,Y
IDCJAC0002,031108,2000,06,21.4,Y
IDCJAC0002,031108,2000,07,23.1,Y
IDCJAC0002,031108,2000,08,25.4,Y
IDCJAC0002,031108,2000,09,27.5,Y
IDCJAC0002,031108,2000,10,28.7,Y
IDCJAC0002,031108,2000,11,30.0,Y
IDCJAC0002,031108,2000,12,27.5,Y
IDCJAC0002,031108,2001,01,29.1,Y
IDCJAC0002,031108,2001,02,26.9,Y
IDCJAC0002,031108,2001,03,28.9,Y
IDCJAC0002,031108,2001,04,26.2,Y
IDCJAC0002,031108,2001,05,26.1,Y
IDCJAC0002,031108,2001,06,23.2,Y
IDCJAC0002,031108,2001,07,23.9,Y
IDCJAC0002,031108,2001,08,24.8,Y
IDCJAC0002,031108,2001,09,27.5,Y
IDCJAC0002,031108,2001,10,30.1,Y
IDCJAC0002,031108,2001,11,31.6,Y
IDCJAC0002,031108,2001,12,32.7,Y
IDCJAC0002,031108,2002,01,31.2,Y
IDCJAC0002,031108,2002,02,30.4,Y
IDCJAC0002,031108,2002,03,28.8,Y
IDCJAC0002,031108,2002,04,27.7,Y
IDCJAC0002,031108,2002,05,26.8,Y
IDCJAC0002,031108,2002,06,24.5,Y
IDCJAC0002,031108,2002,07,23.2,Y
IDCJAC0002,031108,2002,08,24.2,Y
IDCJAC0002,031108,2002,09,28.5,Y
IDCJAC0002,031108,2002,10,31.3,Y
IDCJAC0002,031108,2002,11,30.3,Y
IDCJAC0002,031108,2002,12,31.8,Y
IDCJAC0002,031108,2003,01,29.2,Y
IDCJAC0002,031108,2003,02,29.8,Y
IDCJAC0002,031108,2003,03,27.9,Y
